,nb_cores,environement,penalty,lambda,Duality gap interval,nb_threads,solver,Tolerance,Dataset,Primal objective,Best dual,Relative duality gap,Diff,Relative optimality gap,timestamp,epoch
0,32,cyanure_benchmark_mkl,l2,5.191e-12,5,4,qning-svrg,1e-05,kddb,0.1674756839668803,-86.32481151522074,516.4468366422208,0.0,1.0136043675968667,428180,5
1,32,cyanure_benchmark_mkl,l2,5.191e-12,5,4,qning-svrg,1e-05,kddb,0.11384100341506716,-23.42372887384025,206.75827839848483,0.0,0.3688704642336747,858038,10
2,32,cyanure_benchmark_mkl,l2,5.191e-12,5,4,qning-svrg,1e-05,kddb,0.09380516637865233,-1.7781882726542353,19.95618697030429,0.0,0.12802287668894294,1360657,15
3,32,cyanure_benchmark_mkl,l2,5.191e-12,5,4,qning-svrg,1e-05,kddb,0.08765469481034005,-1.7781882726542353,21.286286735715997,0.0,0.05408904318859121,1816305,20
4,32,cyanure_benchmark_mkl,l2,5.191e-12,5,4,qning-svrg,1e-05,kddb,0.08482825921376086,-1.416154999202819,17.6943777030036,0.0,0.020112913638854014,2300397,25
5,32,cyanure_benchmark_mkl,l2,5.191e-12,5,4,qning-svrg,1e-05,kddb,0.08394081225457373,-1.416154999202819,17.87087557489839,0.0,0.009445055899461312,2778945,30
6,32,cyanure_benchmark_mkl,l2,5.191e-12,5,4,qning-svrg,1e-05,kddb,0.08354755530439711,0.08021449413478018,0.03989417951815893,0.0,0.004717777095830955,3277410,35
7,32,cyanure_benchmark_mkl,l2,5.191e-12,5,4,qning-svrg,1e-05,kddb,0.08334279045455906,0.08021449413478018,0.03753529612719785,0.0,0.0022563316364861714,3768701,40
8,32,cyanure_benchmark_mkl,l2,5.191e-12,5,4,qning-svrg,1e-05,kddb,0.08325609897211196,0.08021449413478018,0.036533117391803496,0.0,0.0012142272127921934,4226726,45
9,32,cyanure_benchmark_mkl,l2,5.191e-12,5,4,qning-svrg,1e-05,kddb,0.08321773688976306,0.08021449413478018,0.03608897414455298,0.0,0.0007530827659625576,4691722,50
10,32,cyanure_benchmark_mkl,l2,5.191e-12,5,4,qning-svrg,1e-05,kddb,0.08320067665924452,0.08267702261786283,0.006293867579062584,0.0,0.0005480044677173653,5183484,55
11,32,cyanure_benchmark_mkl,l2,5.191e-12,5,4,qning-svrg,1e-05,kddb,0.08319275708733545,0.08267702261786283,0.006199271277080061,0.0,0.0004528045624066945,5654772,60
12,32,cyanure_benchmark_mkl,l2,5.191e-12,5,4,qning-svrg,1e-05,kddb,0.08318886330008868,0.08315508879049174,0.00040599796964527576,0.0,0.00040599796964527576,6166313,65
