,nb_cores,environement,penalty,lambda,Duality gap interval,nb_threads,solver,Tolerance,Dataset,Primal objective,Best dual,Relative duality gap,Diff,Relative optimality gap,timestamp,epoch
0,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.2286956600623524,-9327.802341832758,40787.96700798604,0.0,33.64046946683308,94360,5
1,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.19374025114213814,-5070.038593511109,26170.25787812394,0.0,33.22046334031683,216025,10
2,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.17418215609710316,-3479.8368336965477,19979.14765685072,0.0,32.98546337906186,341583,15
3,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.1607112449820837,-3479.8368336965477,21653.7277483569,0.0,32.82360387368522,463026,20
4,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.14907485168646667,-3286.267005941109,22045.409025157147,0.0,32.68378698623678,587888,25
5,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.14027062552969508,-3286.267005941109,23429.048413781482,0.0,32.57799995529347,708788,30
6,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.13351047775774863,-3286.267005941109,24615.30039898409,0.0,32.49677351371891,834200,35
7,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.12680779079805596,-3286.267005941109,25916.339942910585,0.0,32.41623749156516,956071,40
8,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.12152279061277527,-1907.5524264748585,15698.075559704306,0.0,32.35273566094651,1081395,45
9,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.11682807894460026,-1253.4696014696276,10730.180970817995,0.0,32.29632643205259,1190433,50
10,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.11285377995394266,-1253.4696014696276,11108.023636968008,0.0,32.248573309538884,1304511,55
11,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.11010993876035108,-1253.4696014696276,11384.800732082353,0.0,32.215604731939735,1415484,60
12,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.10723762408379336,-1253.4696014696276,11689.711048747138,0.0,32.18109248337213,1529688,65
13,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.10465789449075179,-1253.4696014696276,11977.828002978715,0.0,32.15009578594238,1640610,70
14,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.10216461336889185,-1072.1350582653213,10495.191901789902,0.0,32.120137808660566,1754868,75
15,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.10111785081131033,-1072.1350582653213,10603.82679727801,0.0,32.10756045079885,1865798,80
16,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.09878615075186467,-1072.1350582653213,10854.090743037013,0.0,32.07954394804814,1979806,85
17,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.09705894421184305,-563.7579721492413,5809.408248484245,0.0,32.05879072698802,2089717,90
18,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.09591758068934982,-563.7579721492413,5878.524934402751,0.0,32.04507669282743,2203442,95
19,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.09454761408478903,-562.7217251764552,5952.728455800206,0.0,32.02861588218861,2313630,100
20,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.09342809586183203,-321.2569443027394,3439.5474876619187,0.0,32.01516432985627,2426875,105
21,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.09269705392125413,-321.2569443027394,3466.665096278531,0.0,32.006380507744964,2537655,110
22,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.09168226281528166,-254.9822161625348,2782.150991836495,0.0,31.994187302321006,2650845,115
23,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.09096129595335853,-254.9822161625348,2804.1946278918444,0.0,31.985524537147406,2761697,120
24,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.09029056752355392,-254.9822161625348,2825.0183128322687,0.0,31.977465411007888,2874840,125
25,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.08961667770443445,-254.9822161625348,2846.254060895829,0.0,31.969368299248355,2985759,130
26,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.08911396218829629,-254.9822161625348,2862.30489433027,0.0,31.96332792944022,3098736,135
27,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.08851880714170327,-226.62059164405963,2561.140595673407,0.0,31.956176854012472,3209140,140
28,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.08819643156936607,-226.62059164405963,2570.4984208723185,0.0,31.952303355758456,3322853,145
29,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.08770835951189677,-226.62059164405963,2584.7969482637604,0.0,31.94643893418106,3433224,150
30,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.08725505408759983,-196.2109745019373,2249.706124288812,0.0,31.940992250498365,3546927,155
31,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.08691930663485543,-104.26797959609397,1200.5951605334315,0.0,31.936958082640768,3657249,160
32,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.08662745902910446,-104.26797959609397,1204.6365924234574,0.0,31.933451392654558,3771016,165
33,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.08639755232619392,-104.26797959609397,1207.8395086290204,0.0,31.93068895254207,3881181,170
34,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.08608853713884887,-104.26797959609397,1212.17146441836,0.0,31.926975985768664,3994264,175
35,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.08590861800818503,-104.26797959609397,1214.708030853898,0.0,31.924814170487696,4105011,180
36,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.08563814638210988,-89.46383971687334,1045.6727713803325,0.0,31.921564323224867,4218036,185
37,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.0855011275264107,-89.46383971687334,1047.346899802445,0.0,31.919917975474416,4328927,190
38,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.08537830942366482,-89.46383971687334,1048.852087032261,0.0,31.918442256631646,4441990,195
39,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.08510479532511067,-89.46383971687334,1052.2197271036325,0.0,31.91515585259204,4552876,200
40,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.0849767901323585,-89.46383971687334,1053.8032369488878,0.0,31.913617808356754,4665880,205
41,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.08482189147140208,-63.56819410710424,750.431461670911,0.0,31.911756626107703,4776112,210
42,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.08470777077319168,-62.13307175944937,734.4990779749484,0.0,31.91038541078248,4889716,215
43,1,cyanure_benchmark_blis,l2,5.191e-12,5,1,miso,1e-05,kddb,0.08463931952973143,-62.13307175944937,735.0922883675094,0.0,31.9095629360208,4999976,220
